CREATE TABLE Production 
(
    manufacture_date	VARCHAR(512),
    item_id	INT,
    item_desc	INT,
    raw_material_cost	DOUBLE,
    number_of_carton_produce	DOUBLE
);

INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100001', '100001', '18027.27', '17930.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100002', '100002', '7416.67', '8174.07');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100003', '100003', '14045.45', '15700.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100008', '100008', '6825.00', '5850.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-02', '100009', '100009', '15300.00', '17393.75');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-03', '100010', '100010', '21116.67', '21970.59');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-04', '100016', '100016', '9516.67', '9745.45');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-05', '100017', '100017', '38185.71', '37184.62');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-06', '100018', '100018', '13809.09', '13477.78');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-07', '100019', '100019', '17108.33', '18350.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-08', '100023', '100023', '8175.00', '7628.57');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-09', '100028', '100028', '7754.55', '6777.78');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-10', '100029', '100029', '34512.50', '34492.31');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-11', '100030', '100030', '13414.29', '12092.86');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-12', '100031', '100031', '24900.00', '25515.38');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-13', '100032', '100032', '37842.86', '30523.08');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-14', '100038', '100038', '8600.00', '8450.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-15', '100039', '100039', '5900.00', '7137.50');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-16', '100040', '100040', '10437.50', '8416.67');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-17', '100044', '100044', '36750.00', '38941.67');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-18', '100045', '100045', '10700.00', '9000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100046', '100046', '16825.00', '17666.67');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100047', '100047', '32800.00', '37518.18');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100048', '100048', '9166.67', '7800.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100049', '100049', '16657.14', '16860.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100050', '100050', '53066.67', '51720.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100051', '100051', '18850.00', '19442.86');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100052', '100052', '20520.00', '20200.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100059', '100059', '3962.50', '3511.11');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100060', '100060', '16412.50', '16800.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100061', '100061', '16733.33', '13000.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100066', '100066', '19000.00', '21800.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100067', '100067', '22742.86', '24222.22');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100068', '100068', '5620.00', '5709.09');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100069', '100069', '6320.00', '7518.18');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100070', '100070', '15725.00', '14550.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100071', '100071', '73714.29', '72487.50');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100072', '100072', '25350.00', '24533.33');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100073', '100073', '6640.00', '6500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100074', '100074', '10388.89', '10475.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100075', '100075', '4516.67', '4614.29');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100076', '100076', '25250.00', '25987.50');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100077', '100077', '13560.00', '14450.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100078', '100078', '15960.00', '21155.56');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100079', '100079', '28500.00', '28500.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100080', '100080', '62960.00', '68133.33');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100081', '100081', '48250.00', '46400.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100082', '100082', '37014.29', '38816.67');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100083', '100083', '41200.00', '40328.57');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100084', '100084', '55125.00', '55133.33');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100085', '100085', '10483.33', '11833.33');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100086', '100086', '18133.33', '18675.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-01', '100087', '100087', '9520.00', '9320.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-02', '100088', '100088', '8875.00', '8100.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-03', '100089', '100089', '26550.00', '27642.86');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-04', '100090', '100090', '106700.00', '101425.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-05', '100091', '100091', '16000.00', '16281.82');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-06', '100092', '100092', '9360.00', '10050.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-07', '100093', '100093', '41525.00', '47700.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-08', '100094', '100094', '5933.33', '4900.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-09', '100102', '100102', '31500.00', '29162.50');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-10', '100103', '100103', '46300.00', '45612.50');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-11', '100104', '100104', '17616.67', '17250.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-12', '100105', '100105', '21400.00', '20760.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-13', '100106', '100106', '21960.00', '20820.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-14', '100107', '100107', '6125.00', '7200.00');
INSERT INTO Production (manufacture_date, item_id, item_desc, raw_material_cost, number_of_carton_produce) VALUES ('2019-01-15', '100108', '100108', '7425.00', '11416.67');
